Text, Stress_Level
"My flight was delayed.", 2
"I locked my keys in my car.", 2
"My grocery order was wrong.", 2
"I got stuck in traffic.", 2
"I missed the bus by one minute.", 2

"I failed an important university exam.", 3
"My partner cancelled our anniversary plans last minute.", 3

"I didn't get the job I interviewed for.", 3
"My friend group is drifting apart.", 3
"I hurt my back and now I'm in pain.", 3

"I got food poisoning.", 3
"My flight was cancelled last minute.", 3
"My car broke down and will cost a lot to repair.", 3

"I had an argument with my best friend.", 3
"My package was lost in the mail.", 3
"I was given more responsibilities at work but no raise.", 3
"My date went terribly.", 3
"I'm sick with the flu on vacation.", 3
"There was a major service outage when I needed to work.", 3

"I was given the wrong order at the restaurant.", 3
"My identity was stolen.", 3
"I lost power right before an online exam.", 3
"My shoe broke during an important event.", 3
"I missed the deadline for an important application.", 3
"My bike got stolen.", 3
"I hurt my wrist right before a big game.", 3
"My luggage was lost on a trip.", 3
"I am having friendship problems.", 3
"I locked myself out of the house.", 3
"I'm dealing with a bad breakout right before pictures.", 3
"My vacation got rained out.", 3

"I did poorly on a work evaluation.", 3
"My phone screen cracked.", 3
"I witnessed a car accident.", 3

"Plans with friends fell through.", 3
"My chronic pain is flaring up.", 3

"I lost my wallet.", 3
"I failed an important test I studied hard for.", 3
"I had an awkward social interaction.", 3
"I got into an argument with my partner.", 3

"There was an unexpected death in the family.", 3
"My car repair costs more than I expected.", 3
"I feel lonely.", 3
"I was late for an important event.", 3
"There was an unexpected expense.", 3

"I was embarrassed in front of people.", 3
"I witnessed an upsetting event.", 3
"I messed up at an important event.", 3
"My bike tire went flat.", 3

"I disappointed someone close to me.", 3
"I hurt myself exercising.", 3

"I made a mistake at work.", 3
"I had a falling out with a friend.", 3
"I performed poorly in a competition.", 3

"I was excluded from an event.", 3
"I said something I regret.", 3
"I lost something important.", 3
"I embarrassed myself in public.", 3
"I failed a test I thought I would ace.", 3

"I lost my job and don't know how I'll pay the bills.", 4
"My partner admitted they don't love me anymore.", 4
"My pet died suddenly.", 4
"My parents are getting divorced.", 4

"My house was destroyed in a fire.", 4
"A family member is terminally ill.", 4
"I'm struggling with depression.", 4

"I'm going through a traumatic divorce.", 4
"My identity was stolen leaving me in financial ruin.", 4
"I suffered the loss of a pregnancy.", 4
"My business failed and I'm bankrupt.", 4

"I developed a serious chronic illness.", 4
"My partner was unfaithful and I'm heartbroken.", 4
"I'm a victim of harassment and bullying.", 4
"A close friend passed away.", 4
